         508546259 function calls (507646255 primitive calls) in 534.772 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  9000030   73.120    0.000  116.486    0.000 C:\Users\2002d\anaconda3\envs\rl\lib\site-packages\scipy\sparse\_sputils.py:147(get_index_dtype)
 18000060   28.679    0.000   28.679    0.000 C:\Users\2002d\anaconda3\envs\rl\lib\site-packages\numpy\core\getlimits.py:685(__init__)
  9000030   27.786    0.000  152.591    0.000 C:\Users\2002d\anaconda3\envs\rl\lib\site-packages\scipy\sparse\_base.py:1269(_get_index_dtype)
  3000010   19.481    0.000   98.739    0.000 C:\Users\2002d\anaconda3\envs\rl\lib\site-packages\scipy\sparse\_compressed.py:135(check_format)
3000010/2400008   18.771    0.000  235.315    0.000 C:\Users\2002d\anaconda3\envs\rl\lib\site-packages\scipy\sparse\_compressed.py:25(__init__)
  4200014   13.144    0.000   25.033    0.000 C:\Users\2002d\anaconda3\envs\rl\lib\site-packages\scipy\sparse\_sputils.py:294(check_shape)
  3000011   12.911    0.000   27.100    0.000 C:\Users\2002d\anaconda3\envs\rl\lib\site-packages\scipy\sparse\_compressed.py:1167(prune)
   300000   12.878    0.000   14.798    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
  3900014   12.727    0.000   12.978    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   300001   11.469    0.000   46.958    0.000 C:\Users\2002d\anaconda3\envs\rl\lib\site-packages\scipy\sparse\_dia.py:393(tocoo)
   600002   11.045    0.000  217.382    0.000 C:\Users\2002d\anaconda3\envs\rl\lib\site-packages\scipy\sparse\_compressed.py:364(multiply)
   900003   10.667    0.000   84.933    0.000 C:\Users\2002d\anaconda3\envs\rl\lib\site-packages\scipy\sparse\_coo.py:132(__init__)
   900003    9.694    0.000  109.936    0.000 C:\Users\2002d\anaconda3\envs\rl\lib\site-packages\scipy\sparse\_coo.py:380(tocsr)
 12000037    7.826    0.000   11.592    0.000 <frozen importlib._bootstrap>:404(parent)
 36000102    7.283    0.000    9.111    0.000 {built-in method builtins.isinstance}
  3600003    7.133    0.000   13.767    0.000 C:\Users\2002d\anaconda3\envs\rl\lib\site-packages\scipy\sparse\_sputils.py:216(isintlike)
   900000    6.771    0.000    6.771    0.000 {built-in method scipy.sparse._sparsetools.get_csr_submatrix}
